Threads,Size,NaiveTime,GFLOPS,Layout
1,200,0.119284,.1341,LayoutRight
2,400,0.675284,.1895,LayoutRight
4,800,3.212379,.3187,LayoutRight
6,1200,8.478684,.4076,LayoutRight
8,1600,17.179744,.4768,LayoutRight
10,2000,30.236794,.5291,LayoutRight
12,2400,68.663204,.4026,LayoutRight
1,200,0.134455,.1189,LayoutLeft
2,400,0.687333,.1862,LayoutLeft
4,800,3.207969,.3192,LayoutLeft
6,1200,8.640416,.3999,LayoutLeft
8,1600,17.660457,.4638,LayoutLeft
10,2000,31.744023,.5040,LayoutLeft
12,2400,66.819707,.4137,LayoutLeft
